created_at_time,event,org_id,project_id,user_id
2022-04-20 18:24:30,project_creation_request_success,ORG-2nufoaj370k,PRJ4k2kct6c5854,USRl50abktx6cc1
2022-04-25 23:29:54,task_log_create_success,ORG-7fcq2k7b4xg,PRJ0ypqfy9v4kii,USRqki2dkqwj6xj
2022-04-25 23:29:54,task_creation,ORG-7fcq2k7b4xg,PRJ0ypqfy9v4kii,USRqki2dkqwj6xj
2022-04-25 23:28:23,project_creation_request_success,ORG-7fcq2k7b4xg,PRJfk9dy2gb6dhp,USRqki2dkqwj6xj
2022-03-22 20:40:20,task_log_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:00:54,task_log_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:40:20,task_creation,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:03:27,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:04:58,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:05:14,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:05:28,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:39:20,project_creation_request_success,ORG-iluuim4club,PRJjial8edi2x63,USRcsxgn7-vnztk
2022-03-23 21:03:00,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:03:01,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:04:46,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:04:47,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:04:18,indent_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:40:24,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:40:25,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:41:31,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:42:40,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-22 20:45:42,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 20:58:31,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-23 21:06:01,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
2022-03-27 0:55:02,task_log_create_success,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
2022-03-27 0:55:15,task_log_create_success,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
2022-03-27 0:55:02,task_creation,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
2022-03-27 0:53:46,project_creation_request_success,ORG-o3wg0wxgykk,PRJcegaw8o7utm0,USRhnr-cha95rvm
2022-03-09 23:41:45,project_creation_request_success,ORG-t4fhiiw79ej,PRJnv-cmydt-u3j,USR-w9-buf-hzdi
2022-03-10 5:53:13,task_log_create_success,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:54:06,task_log_create_success,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:54:53,task_log_create_success,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:55:22,task_log_create_success,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:55:48,task_log_create_success,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:53:13,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:54:06,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:54:53,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:55:22,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:55:48,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:57:17,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:58:08,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:58:28,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:58:46,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-10 5:59:01,task_creation,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR-r6ip6u098rf
2022-03-12 16:34:39,stock_material_updated,ORG-v31wzk39mtu,PRJ6xq2ief8x4ot,USR965812497661
